timestamp,delay
1746413328.572588,0.001695
1746413329.586627,1.015734
1746413333.572703,0.001417
1746413335.593348,2.022062
1746413338.574504,0.002253
1746413340.590573,2.018322
1746413343.574996,0.002059
1746413345.597206,2.024269
1746413348.575964,0.001939
1746413351.587541,3.013516
1746413353.576133,0.001377
1746413356.601474,3.026718
1746413358.576711,0.001203
1746413361.623209,3.047701
1746413363.581446,0.005418
1746413367.609914,4.033886
1746413368.578676,0.000878
1746413378.581595,0.002110
1746413379.598364,1.018879
