Client,Connection_Time(s)
1,0.0040
2,0.0008
3,0.0007
4,0.0016
5,0.0010
6,0.0023
7,0.0021
8,0.0019
9,0.0016
10,0.0192
11,0.0159
12,0.0159
13,0.0161
14,0.0011
15,0.0150
16,0.0161
17,0.0014
18,0.0142
19,0.0013
20,0.0011
21,0.0130
22,0.0012
23,0.0149
24,0.0161
25,0.0162
26,0.0156
27,0.0159
28,0.0018
29,0.0013
30,0.0011
31,0.0017
32,0.0016
33,0.0010
34,0.0018
35,0.0044
36,0.0014
37,0.0144
38,0.0159
39,0.0015
40,0.0142
41,0.0014
42,0.0010
43,0.0018
44,0.0009
45,0.0018
46,0.0081
47,0.0013
48,0.0146
49,0.0156
50,0.0155
51,0.0012
52,0.0009
53,0.0138
54,0.0158
55,0.0015
56,0.0141
57,0.0158
58,0.0157
59,0.0012
60,0.0014
61,0.0013
62,0.0012
63,0.0014
64,0.0014
65,0.0128
66,0.0011
67,0.0011
68,0.0012
69,0.0014
70,0.0013
71,0.0019
72,0.0011
73,0.0019
74,0.0014
75,0.0183
76,0.0015
77,0.0142
78,0.0157
79,0.0013
80,0.0011
81,0.0011
82,0.0014
83,0.0015
84,0.0021
85,0.0068
86,0.0012
87,0.0145
88,0.0157
89,0.0160
90,0.0013
91,0.0146
92,0.0016
93,0.0009
94,0.0009
95,0.0015
96,0.0015
97,0.0023
98,0.0147
99,0.0020
100,0.0011

Metric,Value
Total_Clients,100
Average_Connection_Time,0.0062
Maximum_Connection_Time,0.0192
Minimum_Connection_Time,0.0007
Average_Jitter,0.0051
Payload_Size_Bytes,256
