Metric,Min_s,Max_s,Avg_s,Count
ConnectionSetup,0.026036739349365234,6.032689571380615,3.0293631553649902,2
Subscription,0.0022525787353515625,0.002441883087158203,0.002347230911254883,2
PingRTT,0.001562356948852539,4.0401997566223145,1.2430229078639636,22
PingREQ_Sent,,,,12
PingRESP_Recv,,,,22
