timestamp,delay
1746412995.347086,0.001516
1746412996.364865,1.019295
1746413000.351748,0.005245
1746413002.374396,2.027893
1746413005.349023,0.001004
1746413007.379917,2.031898
1746413010.355418,0.006240
1746413013.383661,3.034483
1746413015.352833,0.001672
1746413019.399009,4.047848
1746413020.357060,0.004958
1746413030.360260,0.005636
1746413031.365041,1.010417
1746413035.359498,0.003256
1746413036.367846,1.011604
1746413040.362999,0.005319
1746413041.371754,1.014074
1746413045.362340,0.002575
1746413046.375795,1.016030
