Metric,Min_s,Max_s,Avg_s,Count
ConnectionSetup,0.013624906539916992,6.013924837112427,3.013774871826172,2
Subscription,0.0005509853363037109,0.0007960796356201172,0.0006735324859619141,2
PingRTT,0.0016605854034423828,4.0402562618255615,1.298373812720889,21
PingREQ_Sent,,,,12
PingRESP_Recv,,,,21
