timestamp,delay
1746412349.806294,0.003193
1746412350.823197,1.020096
1746412354.810565,0.006191
1746412356.824754,2.020380
1746412359.809874,0.003820
1746412362.841022,3.034967
1746412364.812406,0.004782
1746412368.834603,4.026979
1746412369.813427,0.004028
1746412379.813449,0.001308
1746412380.821277,1.009135
1746412384.816026,0.002965
1746412385.836976,1.023914
1746412389.818691,0.003858
1746412391.842107,2.027273
1746412394.822128,0.006625
1746412396.855207,2.039704
1746412399.818775,0.001387
1746412402.839111,3.021724
