Metric,Min_s,Max_s,Avg_s,Count
ConnectionSetup,0.014431238174438477,16.04102659225464,8.027728915214539,2
Subscription,0.0015037059783935547,0.002426624298095703,0.001965165138244629,2
PingRTT,0.0015609264373779297,4.055674076080322,1.0116021519615537,21
PingREQ_Sent,,,,12
PingRESP_Recv,,,,21
