timestamp,delay
1746409041.332133,0.001824
1746409042.349087,1.018777
1746409046.334632,0.003114
1746409048.349293,2.017775
1746409051.335447,0.002049
1746409053.352591,2.019192
1746409056.336468,0.002102
1746409058.353337,2.018970
1746409061.340881,0.005118
1746409063.356426,2.020663
1746409066.340317,0.002867
1746409069.349367,3.011918
1746409071.341877,0.003847
1746409074.368175,3.030145
1746409076.340944,0.001661
1746409080.362080,4.022796
1746409081.343074,0.002595
1746409085.372694,4.032216
1746409086.344062,0.002419
1746409090.381899,4.040256
1746409091.348041,0.005545
