timestamp,delay
1746461713.484184,0.004389
1746461714.492386,1.012591
1746461718.482407,0.001327
1746461720.494729,2.013649
1746461723.483617,0.001986
1746461725.500273,2.018642
1746461728.486219,0.003766
1746461730.512609,2.030156
1746461733.489709,0.005606
1746461736.506216,3.022112
1746461738.492062,0.006168
1746461741.513398,3.027504
1746461743.490391,0.002927
1746461746.513387,3.025923
1746461748.491646,0.003103
1746461751.518004,3.029462
1746461753.495589,0.004873
1746461757.525055,4.034338
1746461758.496463,0.003941
