Metric,Min_s,Max_s,Avg_s,Count
ConnectionSetup,0.008066654205322266,6.018503665924072,3.0132851600646973,2
Subscription,0.0005452632904052734,0.0011637210845947266,0.0008544921875,2
PingRTT,0.0008711814880371094,4.026541471481323,0.8699426083337694,21
PingREQ_Sent,,,,12
PingRESP_Recv,,,,21
