timestamp,delay
1746411987.401324,0.002423
1746411988.411062,1.012161
1746411992.401356,0.000871
1746411993.413460,1.012975
1746411997.404303,0.002822
1746411998.416883,1.015402
1746412002.404804,0.002258
1746412003.426047,1.023501
1746412007.410577,0.006719
1746412008.428052,1.024194
1746412012.411636,0.005480
1746412014.419456,2.013300
1746412017.412523,0.004420
1746412019.445378,2.037275
1746412022.414718,0.005205
1746412024.440813,2.031300
1746412027.415740,0.004277
1746412030.439487,3.028023
1746412032.417004,0.004189
1746412036.439357,4.026541
1746412037.419641,0.005459
