timestamp,delay
1746412679.332805,0.002598
1746412680.337229,1.007022
1746412684.336419,0.005028
1746412685.349702,1.018312
1746412689.334436,0.001562
1746412691.353706,2.020832
1746412694.338314,0.004761
1746412696.358783,2.025230
1746412699.336794,0.001573
1746412701.358243,2.023022
1746412704.337713,0.002149
1746412707.358140,3.022577
1746412709.339221,0.002022
1746412712.358998,3.021800
1746412714.345115,0.006854
1746412717.374378,3.036116
1746412719.344134,0.003933
1746412722.380323,3.040122
1746412724.347661,0.006264
1746412727.394315,3.052918
1746412729.345304,0.001609
1746412733.383896,4.040200
